Все слова - 101312: 
длинный : 18 : длинная
цепочка : 17 : цепочка
ассоциация : 17 : ассоциаций
оказываюсь : 20 : оказывается
случайный : 18 : случайной
и : 13 : и
не : 14 : не
представляю : 20 : представляет
интерес : 17 : интереса
прочий : 18 : прочих
более : 9 : более
адекватный : 18 : адекватных
путь : 17 : путей
связывающий : 22 : связывающих
украина : 17 : украину
с : 12 : с
наркотик : 17 : наркотиками
в : 12 : в
исследуемый : 22 : исследуемых
документ : 17 : документах
система : 17 : системе
обнаружить : 21 : обнаружить
не : 14 : не
удался : 20 : удалось
заключение : 17 : заключение
продемонстрировал : 20 : продемонстрируем
включение : 17 : включение
модель : 17 : модели
